Age	Annual Death Probability
0	0.0061
1	0.00043
2	0.00026
3	0.00019
4	0.00015
5	0.00015
6	0.00013
7	0.00012
8	0.00011
9	0.0001
10	0.0001
11	0.0001
12	0.00012
13	0.00016
14	0.00021
15	0.00027
16	0.00032
17	0.00037
18	0.0004
19	0.00042
20	0.00044
21	0.00047
22	0.00049
23	0.0005
24	0.00052
25	0.00053
26	0.00055
27	0.00056
28	0.00058
29	0.00061
30	0.00063
31	0.00067
32	0.00071
33	0.00077
34	0.00082
35	0.00089
36	0.00096
37	0.00104
38	0.00114
39	0.00125
40	0.00137
41	0.0015
42	0.00164
43	0.00181
44	0.00199
45	0.00218
46	0.00237
47	0.00257
48	0.00277
49	0.00299
50	0.00324
51	0.00349
52	0.00376
53	0.00404
54	0.00433
55	0.00464
56	0.00498
57	0.00537
58	0.00583
59	0.00635
60	0.00694
61	0.00759
62	0.00829
63	0.00903
64	0.00983
65	0.01075
66	0.01169
67	0.01272
68	0.01383
69	0.01506
70	0.01648
71	0.01817
72	0.02015
73	0.02244
74	0.02506
75	0.02802
76	0.03122
77	0.03477
78	0.03871
79	0.04307
80	0.04791
81	0.05325
82	0.05916
83	0.06568
84	0.07285
85	0.08075
86	0.08942
87	0.09891
88	0.1093
89	0.12063
90	0.13296
91	0.14634
92	0.16082
93	0.17643
94	0.19321
95	0.21117
96	0.23033
97	0.25068
98	0.27219
99	0.29481
100	1
