Age	Annual Death Probability
0	0.00739
1	0.00049
2	0.00032
3	0.00024
4	0.0002
5	0.00018
6	0.00017
7	0.00016
8	0.00013
9	0.00011
10	0.00009
11	0.00009
12	0.00014
13	0.00026
14	0.00041
15	0.00057
16	0.00072
17	0.00087
18	0.00101
19	0.00115
20	0.00129
21	0.00143
22	0.00151
23	0.00153
24	0.0015
25	0.00145
26	0.00141
27	0.00138
28	0.00138
29	0.00139
30	0.00141
31	0.00144
32	0.00147
33	0.00152
34	0.00157
35	0.00163
36	0.00172
37	0.00182
38	0.00196
39	0.00212
40	0.0023
41	0.0025
42	0.00273
43	0.00299
44	0.00327
45	0.00356
46	0.00385
47	0.00419
48	0.00457
49	0.005
50	0.00547
51	0.00597
52	0.00647
53	0.00697
54	0.00747
55	0.00799
56	0.00857
57	0.00918
58	0.00984
59	0.01057
60	0.01138
61	0.01226
62	0.01323
63	0.01428
64	0.01543
65	0.01677
66	0.01816
67	0.01968
68	0.02133
69	0.02314
70	0.0252
71	0.02762
72	0.03042
73	0.0336
74	0.03715
75	0.0411
76	0.04532
77	0.04994
78	0.05502
79	0.06058
80	0.06665
81	0.0733
82	0.08054
83	0.08844
84	0.09702
85	0.10634
86	0.11645
87	0.12737
88	0.13916
89	0.15185
90	0.16547
91	0.18006
92	0.19563
93	0.21221
94	0.22978
95	0.24835
96	0.2679
97	0.28839
98	0.30979
99	0.33204
100	1
